chrom	length	bases	mean	min	max
chr3_GL000221v1_random_region	155397	12645320	81.37	0	177
chr4_GL000008v2_random	209709	19662076	93.76	12	1432
chr4_GL000008v2_random_region	209709	19662076	93.76	12	1432
chr5_GL000208v1_random	92689	5263758	56.79	29	79
chr5_GL000208v1_random_region	92689	5263758	56.79	29	79
chr9_KI270717v1_random	40062	802799	20.04	1	33
chr9_KI270717v1_random_region	40062	802799	20.04	1	33
chr9_KI270718v1_random	38054	2018592	53.05	0	118
chr9_KI270718v1_random_region	38054	2018592	53.05	0	118
chr9_KI270719v1_random	176845	12491165	70.63	7	153
chr9_KI270719v1_random_region	176845	12491165	70.63	7	153
chr9_KI270720v1_random	39050	1789634	45.83	7	86
chr9_KI270720v1_random_region	39050	1789634	45.83	7	86
chr11_KI270721v1_random	100316	1191605	11.88	0	30
chr11_KI270721v1_random_region	100316	1191605	11.88	0	30
chr14_GL000009v2_random	201709	24509985	121.51	13	187
chr14_GL000009v2_random_region	201709	24509985	121.51	13	187
chr14_GL000225v1_random	211173	77856535	368.69	0	2264
chr14_GL000225v1_random_region	211173	77856535	368.69	0	2264
chr14_KI270722v1_random	194050	7975490	41.10	7	107
chr14_KI270722v1_random_region	194050	7975490	41.10	7	107
chr14_GL000194v1_random	191469	22696028	118.54	11	226
chr14_GL000194v1_random_region	191469	22696028	118.54	11	226
chr14_KI270723v1_random	38115	3234063	84.85	15	147
chr14_KI270723v1_random_region	38115	3234063	84.85	15	147
chr14_KI270724v1_random	39555	2421698	61.22	7	94
chr14_KI270724v1_random_region	39555	2421698	61.22	7	94
chr14_KI270725v1_random	172810	9190268	53.18	5	124
chr14_KI270725v1_random_region	172810	9190268	53.18	5	124
chr15_KI270727v1_random	448248	4167927	9.30	0	64
chr15_KI270727v1_random_region	448248	4167927	9.30	0	64
chr16_KI270728v1_random	1872759	30281179	16.17	0	215
chr16_KI270728v1_random_region	1872759	30281179	16.17	0	215
chr17_GL000205v2_random	185591	19761769	106.48	0	240
chr17_GL000205v2_random_region	185591	19761769	106.48	0	240
chr17_KI270729v1_random	280839	20595869	73.34	0	2435
chr17_KI270729v1_random_region	280839	20595869	73.34	0	2435
chr17_KI270730v1_random	112551	4736922	42.09	0	224
chr17_KI270730v1_random_region	112551	4736922	42.09	0	224
chr22_KI270731v1_random	150754	5134207	34.06	0	79
chr22_KI270731v1_random_region	150754	5134207	34.06	0	79
chr22_KI270732v1_random	41543	5403118	130.06	39	171
chr22_KI270732v1_random_region	41543	5403118	130.06	39	171
chr22_KI270733v1_random	179772	62188817	345.93	7	1298
chr22_KI270733v1_random_region	179772	62188817	345.93	7	1298
chr22_KI270734v1_random	165050	12377895	74.99	0	6575
chr22_KI270734v1_random_region	165050	12377895	74.99	0	6575
chr22_KI270735v1_random	42811	6067851	141.74	57	187
chr22_KI270735v1_random_region	42811	6067851	141.74	57	187
chr22_KI270736v1_random	181920	8191427	45.03	0	652
chr22_KI270736v1_random_region	181920	8191427	45.03	0	652
chr22_KI270737v1_random	103838	2629521	25.32	1	103
chr22_KI270737v1_random_region	103838	2629521	25.32	1	103
chr22_KI270738v1_random	99375	5166210	51.99	0	98
chr22_KI270738v1_random_region	99375	5166210	51.99	0	98
chr22_KI270739v1_random	73985	545946	7.38	0	23
chr22_KI270739v1_random_region	73985	545946	7.38	0	23
chrY_KI270740v1_random	37240	1085274	29.14	10	47
chrY_KI270740v1_random_region	37240	1085274	29.14	10	47
chrUn_KI270302v1	2274	2164	0.95	0	2
chrUn_KI270302v1_region	2274	2164	0.95	0	2
chrUn_KI270303v1	1942	1762	0.91	0	1
chrUn_KI270303v1_region	1942	1762	0.91	0	1
chrUn_KI270322v1	21476	996	0.05	0	1
chrUn_KI270322v1_region	21476	996	0.05	0	1
chrUn_KI270320v1	4416	20327	4.60	0	5
chrUn_KI270320v1_region	4416	20327	4.60	0	5
chrUn_KI270310v1	1201	5830	4.85	2	6
chrUn_KI270310v1_region	1201	5830	4.85	2	6
chrUn_KI270316v1	1444	1441	1.00	0	1
chrUn_KI270316v1_region	1444	1441	1.00	0	1
chrUn_KI270315v1	2276	2030	0.89	0	1
chrUn_KI270315v1_region	2276	2030	0.89	0	1
chrUn_KI270312v1	998	996	1.00	0	1
chrUn_KI270312v1_region	998	996	1.00	0	1
chrUn_KI270311v1	12399	17184	1.39	0	8
chrUn_KI270311v1_region	12399	17184	1.39	0	8
chrUn_KI270317v1	37690	1325	0.04	0	1
chrUn_KI270317v1_region	37690	1325	0.04	0	1
chrUn_KI270411v1	2646	39182	14.81	0	17
chrUn_KI270411v1_region	2646	39182	14.81	0	17
chrUn_KI270414v1	2489	4304	1.73	0	2
chrUn_KI270414v1_region	2489	4304	1.73	0	2
chrUn_KI270419v1	1029	2965	2.88	0	3
chrUn_KI270419v1_region	1029	2965	2.88	0	3
chrUn_KI270418v1	2145	17428	8.12	0	9
chrUn_KI270418v1_region	2145	17428	8.12	0	9
chrUn_KI270420v1	2321	6325	2.73	0	3
chrUn_KI270420v1_region	2321	6325	2.73	0	3
chrUn_KI270417v1	2043	19943	9.76	8	11
chrUn_KI270417v1_region	2043	19943	9.76	8	11
chrUn_KI270422v1	1445	22863	15.82	13	20
chrUn_KI270422v1_region	1445	22863	15.82	13	20
chrUn_KI270423v1	981	5042	5.14	0	6
chrUn_KI270423v1_region	981	5042	5.14	0	6
chrUn_KI270425v1	1884	4498	2.39	0	6
chrUn_KI270425v1_region	1884	4498	2.39	0	6
chrUn_KI270429v1	1361	3395	2.49	0	4
chrUn_KI270429v1_region	1361	3395	2.49	0	4
chrUn_KI270442v1	392061	43517592	111.00	0	301
chrUn_KI270442v1_region	392061	43517592	111.00	0	301
chrUn_KI270466v1	1233	2173758	1762.98	324	2000
chrUn_KI270466v1_region	1233	2173758	1762.98	324	2000
chrUn_KI270465v1	1774	31972	18.02	14	22
chrUn_KI270465v1_region	1774	31972	18.02	14	22
chrUn_KI270467v1	3920	272475422	69509.04	101	99105
chrUn_KI270467v1_region	3920	272475422	69509.04	101	99105
chrUn_KI270435v1	92983	6574110	70.70	19	278
chrUn_KI270435v1_region	92983	6574110	70.70	19	278
chrUn_KI270438v1	112505	302840353	2691.79	0	37403
chrUn_KI270438v1_region	112505	302840353	2691.79	0	37403
chrUn_KI270468v1	4055	332397	81.97	0	85
chrUn_KI270468v1_region	4055	332397	81.97	0	85
chrUn_KI270510v1	2415	336242	139.23	123	148
chrUn_KI270510v1_region	2415	336242	139.23	123	148
chrUn_KI270509v1	2318	1991	0.86	0	3
chrUn_KI270509v1_region	2318	1991	0.86	0	3
chrUn_KI270518v1	2186	324397	148.40	115	160
chrUn_KI270518v1_region	2186	324397	148.40	115	160
chrUn_KI270508v1	1951	65275	33.46	0	35
chrUn_KI270508v1_region	1951	65275	33.46	0	35
chrUn_KI270516v1	1300	262881	202.22	192	207
chrUn_KI270516v1_region	1300	262881	202.22	192	207
chrUn_KI270512v1	22689	1146482	50.53	0	71
chrUn_KI270512v1_region	22689	1146482	50.53	0	71
chrUn_KI270519v1	138126	11127231	80.56	0	285
chrUn_KI270519v1_region	138126	11127231	80.56	0	285
chrUn_KI270522v1	5674	207365	36.55	0	51
chrUn_KI270522v1_region	5674	207365	36.55	0	51
chrUn_KI270511v1	8127	787970	96.96	0	105
chrUn_KI270511v1_region	8127	787970	96.96	0	105
chrUn_KI270515v1	6361	1343167	211.16	152	258
chrUn_KI270515v1_region	6361	1343167	211.16	152	258
chrUn_KI270507v1	5353	215919	40.34	38	47
chrUn_KI270507v1_region	5353	215919	40.34	38	47
chrUn_KI270517v1	3253	895503	275.29	199	296
chrUn_KI270517v1_region	3253	895503	275.29	199	296
chrUn_KI270529v1	1899	19371	10.20	0	32
chrUn_KI270529v1_region	1899	19371	10.20	0	32
chrUn_KI270528v1	2983	2607	0.87	0	2
chrUn_KI270528v1_region	2983	2607	0.87	0	2
chrUn_KI270539v1	993	364	0.37	0	1
chrUn_KI270539v1_region	993	364	0.37	0	1
chrUn_KI270538v1	91309	10011838	109.65	0	485
chrUn_KI270538v1_region	91309	10011838	109.65	0	485
chrUn_KI270544v1	1202	1829	1.52	0	2
chrUn_KI270544v1_region	1202	1829	1.52	0	2
chrUn_KI270587v1	2969	214615	72.29	56	84
chrUn_KI270587v1_region	2969	214615	72.29	56	84
chrUn_KI270579v1	31033	876861	28.26	0	55
chrUn_KI270579v1_region	31033	876861	28.26	0	55
chrUn_KI270589v1	44474	1576806	35.45	0	195
chrUn_KI270589v1_region	44474	1576806	35.45	0	195
chrUn_KI270590v1	4685	652047	139.18	0	184
chrUn_KI270590v1_region	4685	652047	139.18	0	184
chrUn_KI270584v1	4513	173951	38.54	15	62
chrUn_KI270584v1_region	4513	173951	38.54	15	62
chrUn_KI270582v1	6504	16937	2.60	0	4
chrUn_KI270582v1_region	6504	16937	2.60	0	4
chrUn_KI270588v1	6158	304751	49.49	0	58
chrUn_KI270588v1_region	6158	304751	49.49	0	58
chrUn_KI270593v1	3041	6965	2.29	0	3
chrUn_KI270593v1_region	3041	6965	2.29	0	3
chrUn_KI270591v1	5796	762558	131.57	90	194
chrUn_KI270591v1_region	5796	762558	131.57	90	194
chrUn_KI270330v1	1652	5753	3.48	0	5
chrUn_KI270330v1_region	1652	5753	3.48	0	5
chrUn_KI270334v1	1368	2736	2.00	2	2
chrUn_KI270334v1_region	1368	2736	2.00	2	2
chrUn_KI270333v1	2699	42433086	15721.78	85	16793
chrUn_KI270333v1_region	2699	42433086	15721.78	85	16793
chrUn_KI270336v1	1026	135234	131.81	26	163
chrUn_KI270336v1_region	1026	135234	131.81	26	163
chrUn_KI270337v1	1121	592935	528.93	15	584
chrUn_KI270337v1_region	1121	592935	528.93	15	584
chrUn_KI270387v1	1537	5215	3.39	3	4
chrUn_KI270387v1_region	1537	5215	3.39	3	4
chrUn_KI270395v1	1143	5760	5.04	0	6
chrUn_KI270395v1_region	1143	5760	5.04	0	6
chrUn_KI270394v1	970	490	0.51	0	1
chrUn_KI270394v1_region	970	490	0.51	0	1
chrUn_KI270386v1	1788	1788	1.00	1	1
chrUn_KI270386v1_region	1788	1788	1.00	1	1
chrUn_KI270392v1	971	1924	1.98	0	2
chrUn_KI270392v1_region	971	1924	1.98	0	2
chrUn_KI270381v1	1930	988	0.51	0	1
chrUn_KI270381v1_region	1930	988	0.51	0	1
chrUn_KI270385v1	990	1583	1.60	1	2
chrUn_KI270385v1_region	990	1583	1.60	1	2
chrUn_KI270382v1	4215	10518	2.50	1	5
chrUn_KI270382v1_region	4215	10518	2.50	1	5
chrUn_KI270375v1	2378	8995	3.78	0	5
chrUn_KI270375v1_region	2378	8995	3.78	0	5
chrUn_KI270448v1	7992	548212	68.60	50	78
chrUn_KI270448v1_region	7992	548212	68.60	50	78
chrUn_KI270521v1	7642	308105	40.32	27	50
chrUn_KI270521v1_region	7642	308105	40.32	27	50
chrUn_GL000195v1	182896	17918840	97.97	1	221
chrUn_GL000195v1_region	182896	17918840	97.97	1	221
chrUn_GL000219v1	179198	10560569	58.93	14	174
chrUn_GL000219v1_region	179198	10560569	58.93	14	174
chrUn_GL000220v1	161802	78033846	482.28	0	2646
chrUn_GL000220v1_region	161802	78033846	482.28	0	2646
chrUn_GL000224v1	179693	34126435	189.92	5	1458
chrUn_GL000224v1_region	179693	34126435	189.92	5	1458
chrUn_KI270741v1	157432	1929745	12.26	0	34
chrUn_KI270741v1_region	157432	1929745	12.26	0	34
chrUn_GL000226v1	15008	35696362	2378.49	1326	2709
chrUn_GL000226v1_region	15008	35696362	2378.49	1326	2709
chrUn_GL000213v1	164239	1772171	10.79	0	30
chrUn_GL000213v1_region	164239	1772171	10.79	0	30
chrUn_KI270743v1	210658	13109244	62.23	11	115
chrUn_KI270743v1_region	210658	13109244	62.23	11	115
chrUn_KI270744v1	168472	22614896	134.24	7	1534
chrUn_KI270744v1_region	168472	22614896	134.24	7	1534
chrUn_KI270745v1	41891	335588	8.01	0	15
chrUn_KI270745v1_region	41891	335588	8.01	0	15
chrUn_KI270746v1	66486	9150035	137.62	22	268
chrUn_KI270746v1_region	66486	9150035	137.62	22	268
chrUn_KI270747v1	198735	4378432	22.03	0	75
chrUn_KI270747v1_region	198735	4378432	22.03	0	75
chrUn_KI270748v1	93321	662490	7.10	0	27
chrUn_KI270748v1_region	93321	662490	7.10	0	27
chrUn_KI270749v1	158759	11675138	73.54	7	143
chrUn_KI270749v1_region	158759	11675138	73.54	7	143
chrUn_KI270750v1	148850	12911264	86.74	1	175
chrUn_KI270750v1_region	148850	12911264	86.74	1	175
chrUn_KI270751v1	150742	17250635	114.44	0	357
chrUn_KI270751v1_region	150742	17250635	114.44	0	357
chrUn_KI270753v1	62944	3264627	51.87	4	86
chrUn_KI270753v1_region	62944	3264627	51.87	4	86
chrUn_KI270754v1	40191	5037503	125.34	3	230
chrUn_KI270754v1_region	40191	5037503	125.34	3	230
chrUn_KI270755v1	36723	1044860	28.45	3	45
chrUn_KI270755v1_region	36723	1044860	28.45	3	45
chrUn_KI270756v1	79590	2530224	31.79	0	207
chrUn_KI270756v1_region	79590	2530224	31.79	0	207
chrUn_KI270757v1	71251	12167138	170.76	0	445
chrUn_KI270757v1_region	71251	12167138	170.76	0	445
chrUn_GL000214v1	137718	29183169	211.91	0	1115
chrUn_GL000214v1_region	137718	29183169	211.91	0	1115
chrUn_KI270742v1	186739	22819274	122.20	25	223
chrUn_KI270742v1_region	186739	22819274	122.20	25	223
chrUn_GL000216v2	176608	25632604	145.14	6	1179
chrUn_GL000216v2_region	176608	25632604	145.14	6	1179
chrUn_GL000218v1	161147	13676294	84.87	24	153
chrUn_GL000218v1_region	161147	13676294	84.87	24	153
chrEBV	171823	36270696	211.09	100	331
chrEBV_region	171823	36270696	211.09	100	331
total	3099784111	119646786037	38.60	0	99105
total_region	3099784111	119646786037	38.60	0	99105
