chrom	length	bases	mean	min	max
chr1_KI270708v1_random_region	127682	3059358	23.96	4	38
chr1_KI270709v1_random	66860	85805689	1283.36	28	5243
chr1_KI270709v1_random_region	66860	85805689	1283.36	28	5243
chr1_KI270710v1_random	40176	1357449	33.79	8	44
chr1_KI270710v1_random_region	40176	1357449	33.79	8	44
chr1_KI270711v1_random	42210	1475796	34.96	5	60
chr1_KI270711v1_random_region	42210	1475796	34.96	5	60
chr1_KI270712v1_random	176043	3702524	21.03	0	137
chr1_KI270712v1_random_region	176043	3702524	21.03	0	137
chr1_KI270713v1_random	40745	2981842	73.18	2	117
chr1_KI270713v1_random_region	40745	2981842	73.18	2	117
chr1_KI270714v1_random	41717	2108176	50.54	5	75
chr1_KI270714v1_random_region	41717	2108176	50.54	5	75
chr2_KI270715v1_random	161471	9548657	59.14	3	130
chr2_KI270715v1_random_region	161471	9548657	59.14	3	130
chr2_KI270716v1_random	153799	8075505	52.51	2	161
chr2_KI270716v1_random_region	153799	8075505	52.51	2	161
chr3_GL000221v1_random	155397	14547971	93.62	2	196
chr3_GL000221v1_random_region	155397	14547971	93.62	2	196
chr4_GL000008v2_random	209709	27092038	129.19	11	1960
chr4_GL000008v2_random_region	209709	27092038	129.19	11	1960
chr5_GL000208v1_random	92689	7505139	80.97	37	99
chr5_GL000208v1_random_region	92689	7505139	80.97	37	99
chr9_KI270717v1_random	40062	632204	15.78	0	27
chr9_KI270717v1_random_region	40062	632204	15.78	0	27
chr9_KI270718v1_random	38054	1812426	47.63	5	121
chr9_KI270718v1_random_region	38054	1812426	47.63	5	121
chr9_KI270719v1_random	176845	13644667	77.16	3	145
chr9_KI270719v1_random_region	176845	13644667	77.16	3	145
chr9_KI270720v1_random	39050	1990604	50.98	14	83
chr9_KI270720v1_random_region	39050	1990604	50.98	14	83
chr11_KI270721v1_random	100316	2058832	20.52	0	40
chr11_KI270721v1_random_region	100316	2058832	20.52	0	40
chr14_GL000009v2_random	201709	28640920	141.99	17	204
chr14_GL000009v2_random_region	201709	28640920	141.99	17	204
chr14_GL000225v1_random	211173	115454633	546.73	0	2422
chr14_GL000225v1_random_region	211173	115454633	546.73	0	2422
chr14_KI270722v1_random	194050	9175510	47.28	11	123
chr14_KI270722v1_random_region	194050	9175510	47.28	11	123
chr14_GL000194v1_random	191469	24387765	127.37	11	180
chr14_GL000194v1_random_region	191469	24387765	127.37	11	180
chr14_KI270723v1_random	38115	4360261	114.40	28	169
chr14_KI270723v1_random_region	38115	4360261	114.40	28	169
chr14_KI270724v1_random	39555	2029022	51.30	2	93
chr14_KI270724v1_random_region	39555	2029022	51.30	2	93
chr14_KI270725v1_random	172810	10889813	63.02	6	96
chr14_KI270725v1_random_region	172810	10889813	63.02	6	96
chr15_KI270727v1_random	448248	4939459	11.02	0	58
chr15_KI270727v1_random_region	448248	4939459	11.02	0	58
chr16_KI270728v1_random	1872759	33894546	18.10	0	225
chr16_KI270728v1_random_region	1872759	33894546	18.10	0	225
chr17_GL000205v2_random	185591	23451643	126.36	0	250
chr17_GL000205v2_random_region	185591	23451643	126.36	0	250
chr17_KI270729v1_random	280839	25137169	89.51	0	3362
chr17_KI270729v1_random_region	280839	25137169	89.51	0	3362
chr17_KI270730v1_random	112551	6175667	54.87	0	303
chr17_KI270730v1_random_region	112551	6175667	54.87	0	303
chr22_KI270731v1_random	150754	4640534	30.78	0	67
chr22_KI270731v1_random_region	150754	4640534	30.78	0	67
chr22_KI270732v1_random	41543	4542925	109.35	36	142
chr22_KI270732v1_random_region	41543	4542925	109.35	36	142
chr22_KI270733v1_random	179772	103854640	577.70	6	2221
chr22_KI270733v1_random_region	179772	103854640	577.70	6	2221
chr22_KI270734v1_random	165050	14992876	90.84	0	8346
chr22_KI270734v1_random_region	165050	14992876	90.84	0	8346
chr22_KI270735v1_random	42811	6291757	146.97	35	254
chr22_KI270735v1_random_region	42811	6291757	146.97	35	254
chr22_KI270736v1_random	181920	14718260	80.91	0	1071
chr22_KI270736v1_random_region	181920	14718260	80.91	0	1071
chr22_KI270737v1_random	103838	3132950	30.17	1	199
chr22_KI270737v1_random_region	103838	3132950	30.17	1	199
chr22_KI270738v1_random	99375	5491843	55.26	0	106
chr22_KI270738v1_random_region	99375	5491843	55.26	0	106
chr22_KI270739v1_random	73985	466506	6.31	0	13
chr22_KI270739v1_random_region	73985	466506	6.31	0	13
chrY_KI270740v1_random	37240	1005910	27.01	14	34
chrY_KI270740v1_random_region	37240	1005910	27.01	14	34
chrUn_KI270303v1	1942	14491	7.46	5	8
chrUn_KI270303v1_region	1942	14491	7.46	5	8
chrUn_KI270322v1	21476	2465	0.11	0	2
chrUn_KI270322v1_region	21476	2465	0.11	0	2
chrUn_KI270320v1	4416	93864	21.26	0	27
chrUn_KI270320v1_region	4416	93864	21.26	0	27
chrUn_KI270310v1	1201	37947	31.60	22	36
chrUn_KI270310v1_region	1201	37947	31.60	22	36
chrUn_KI270316v1	1444	5443	3.77	0	6
chrUn_KI270316v1_region	1444	5443	3.77	0	6
chrUn_KI270315v1	2276	932	0.41	0	1
chrUn_KI270315v1_region	2276	932	0.41	0	1
chrUn_KI270312v1	998	2784	2.79	0	4
chrUn_KI270312v1_region	998	2784	2.79	0	4
chrUn_KI270311v1	12399	22013	1.78	0	9
chrUn_KI270311v1_region	12399	22013	1.78	0	9
chrUn_KI270317v1	37690	8388	0.22	0	3
chrUn_KI270317v1_region	37690	8388	0.22	0	3
chrUn_KI270411v1	2646	89462	33.81	0	41
chrUn_KI270411v1_region	2646	89462	33.81	0	41
chrUn_KI270414v1	2489	8560	3.44	0	5
chrUn_KI270414v1_region	2489	8560	3.44	0	5
chrUn_KI270419v1	1029	4267	4.15	0	5
chrUn_KI270419v1_region	1029	4267	4.15	0	5
chrUn_KI270418v1	2145	12652	5.90	0	7
chrUn_KI270418v1_region	2145	12652	5.90	0	7
chrUn_KI270420v1	2321	6290	2.71	0	4
chrUn_KI270420v1_region	2321	6290	2.71	0	4
chrUn_KI270417v1	2043	48164	23.58	21	27
chrUn_KI270417v1_region	2043	48164	23.58	21	27
chrUn_KI270422v1	1445	24114	16.69	14	18
chrUn_KI270422v1_region	1445	24114	16.69	14	18
chrUn_KI270423v1	981	4897	4.99	1	6
chrUn_KI270423v1_region	981	4897	4.99	1	6
chrUn_KI270425v1	1884	4345	2.31	0	6
chrUn_KI270425v1_region	1884	4345	2.31	0	6
chrUn_KI270429v1	1361	6005	4.41	0	5
chrUn_KI270429v1_region	1361	6005	4.41	0	5
chrUn_KI270442v1	392061	52269421	133.32	0	311
chrUn_KI270442v1_region	392061	52269421	133.32	0	311
chrUn_KI270466v1	1233	1712996	1389.29	252	1585
chrUn_KI270466v1_region	1233	1712996	1389.29	252	1585
chrUn_KI270465v1	1774	34915	19.68	15	28
chrUn_KI270465v1_region	1774	34915	19.68	15	28
chrUn_KI270467v1	3920	207985984	53057.65	87	76007
chrUn_KI270467v1_region	3920	207985984	53057.65	87	76007
chrUn_KI270435v1	92983	8577018	92.24	37	371
chrUn_KI270435v1_region	92983	8577018	92.24	37	371
chrUn_KI270438v1	112505	358437339	3185.97	0	48410
chrUn_KI270438v1_region	112505	358437339	3185.97	0	48410
chrUn_KI270468v1	4055	304027	74.98	0	80
chrUn_KI270468v1_region	4055	304027	74.98	0	80
chrUn_KI270510v1	2415	234485	97.10	81	106
chrUn_KI270510v1_region	2415	234485	97.10	81	106
chrUn_KI270509v1	2318	10617	4.58	1	8
chrUn_KI270509v1_region	2318	10617	4.58	1	8
chrUn_KI270518v1	2186	307831	140.82	90	154
chrUn_KI270518v1_region	2186	307831	140.82	90	154
chrUn_KI270508v1	1951	41715	21.38	0	24
chrUn_KI270508v1_region	1951	41715	21.38	0	24
chrUn_KI270516v1	1300	228930	176.10	133	182
chrUn_KI270516v1_region	1300	228930	176.10	133	182
chrUn_KI270512v1	22689	1718703	75.75	0	124
chrUn_KI270512v1_region	22689	1718703	75.75	0	124
chrUn_KI270519v1	138126	14379539	104.10	0	370
chrUn_KI270519v1_region	138126	14379539	104.10	0	370
chrUn_KI270522v1	5674	221022	38.95	0	46
chrUn_KI270522v1_region	5674	221022	38.95	0	46
chrUn_KI270511v1	8127	758742	93.36	0	103
chrUn_KI270511v1_region	8127	758742	93.36	0	103
chrUn_KI270515v1	6361	1497151	235.36	186	263
chrUn_KI270515v1_region	6361	1497151	235.36	186	263
chrUn_KI270507v1	5353	233323	43.59	29	51
chrUn_KI270507v1_region	5353	233323	43.59	29	51
chrUn_KI270517v1	3253	817161	251.20	160	274
chrUn_KI270517v1_region	3253	817161	251.20	160	274
chrUn_KI270529v1	1899	22167	11.67	0	38
chrUn_KI270529v1_region	1899	22167	11.67	0	38
chrUn_KI270528v1	2983	9092	3.05	0	5
chrUn_KI270528v1_region	2983	9092	3.05	0	5
chrUn_KI270530v1	2168	17202	7.93	5	11
chrUn_KI270530v1_region	2168	17202	7.93	5	11
chrUn_KI270539v1	993	811	0.82	0	1
chrUn_KI270539v1_region	993	811	0.82	0	1
chrUn_KI270538v1	91309	11142288	122.03	0	538
chrUn_KI270538v1_region	91309	11142288	122.03	0	538
chrUn_KI270544v1	1202	10803	8.99	1	15
chrUn_KI270544v1_region	1202	10803	8.99	1	15
chrUn_KI270583v1	1400	1616	1.15	0	2
chrUn_KI270583v1_region	1400	1616	1.15	0	2
chrUn_KI270587v1	2969	253656	85.43	55	106
chrUn_KI270587v1_region	2969	253656	85.43	55	106
chrUn_KI270580v1	1553	1505	0.97	0	1
chrUn_KI270580v1_region	1553	1505	0.97	0	1
chrUn_KI270581v1	7046	5298	0.75	0	2
chrUn_KI270581v1_region	7046	5298	0.75	0	2
chrUn_KI270579v1	31033	657533	21.19	0	42
chrUn_KI270579v1_region	31033	657533	21.19	0	42
chrUn_KI270589v1	44474	1584272	35.62	0	260
chrUn_KI270589v1_region	44474	1584272	35.62	0	260
chrUn_KI270590v1	4685	821825	175.42	0	236
chrUn_KI270590v1_region	4685	821825	175.42	0	236
chrUn_KI270584v1	4513	141385	31.33	10	48
chrUn_KI270584v1_region	4513	141385	31.33	10	48
chrUn_KI270582v1	6504	89890	13.82	0	22
chrUn_KI270582v1_region	6504	89890	13.82	0	22
chrUn_KI270588v1	6158	285822	46.41	0	56
chrUn_KI270588v1_region	6158	285822	46.41	0	56
chrUn_KI270593v1	3041	33214	10.92	0	13
chrUn_KI270593v1_region	3041	33214	10.92	0	13
chrUn_KI270591v1	5796	1155069	199.29	117	287
chrUn_KI270591v1_region	5796	1155069	199.29	117	287
chrUn_KI270330v1	1652	31663	19.17	4	29
chrUn_KI270330v1_region	1652	31663	19.17	4	29
chrUn_KI270334v1	1368	10929	7.99	6	8
chrUn_KI270334v1_region	1368	10929	7.99	6	8
chrUn_KI270333v1	2699	41633443	15425.51	97	16479
chrUn_KI270333v1_region	2699	41633443	15425.51	97	16479
chrUn_KI270335v1	1048	2079	1.98	0	2
chrUn_KI270335v1_region	1048	2079	1.98	0	2
chrUn_KI270336v1	1026	118280	115.28	30	140
chrUn_KI270336v1_region	1026	118280	115.28	30	140
chrUn_KI270337v1	1121	880229	785.22	8	843
chrUn_KI270337v1_region	1121	880229	785.22	8	843
chrUn_KI270362v1	3530	2073	0.59	0	1
chrUn_KI270362v1_region	3530	2073	0.59	0	1
chrUn_KI270366v1	8320	21013	2.53	0	5
chrUn_KI270366v1_region	8320	21013	2.53	0	5
chrUn_KI270390v1	2387	255	0.11	0	1
chrUn_KI270390v1_region	2387	255	0.11	0	1
chrUn_KI270387v1	1537	1537	1.00	1	1
chrUn_KI270387v1_region	1537	1537	1.00	1	1
chrUn_KI270395v1	1143	14011	12.26	0	13
chrUn_KI270395v1_region	1143	14011	12.26	0	13
chrUn_KI270396v1	1880	1876	1.00	0	1
chrUn_KI270396v1_region	1880	1876	1.00	0	1
chrUn_KI270386v1	1788	6577	3.68	1	5
chrUn_KI270386v1_region	1788	6577	3.68	1	5
chrUn_KI270383v1	1750	267	0.15	0	1
chrUn_KI270383v1_region	1750	267	0.15	0	1
chrUn_KI270393v1	1308	3020	2.31	0	3
chrUn_KI270393v1_region	1308	3020	2.31	0	3
chrUn_KI270392v1	971	6599	6.80	0	7
chrUn_KI270392v1_region	971	6599	6.80	0	7
chrUn_KI270381v1	1930	715	0.37	0	1
chrUn_KI270381v1_region	1930	715	0.37	0	1
chrUn_KI270382v1	4215	14701	3.49	0	8
chrUn_KI270382v1_region	4215	14701	3.49	0	8
chrUn_KI270375v1	2378	5817	2.45	0	4
chrUn_KI270375v1_region	2378	5817	2.45	0	4
chrUn_KI270448v1	7992	399124	49.94	26	64
chrUn_KI270448v1_region	7992	399124	49.94	26	64
chrUn_KI270521v1	7642	420800	55.06	40	68
chrUn_KI270521v1_region	7642	420800	55.06	40	68
chrUn_GL000195v1	182896	17577807	96.11	1	218
chrUn_GL000195v1_region	182896	17577807	96.11	1	218
chrUn_GL000219v1	179198	11446196	63.87	13	217
chrUn_GL000219v1_region	179198	11446196	63.87	13	217
chrUn_GL000220v1	161802	173710864	1073.60	0	4376
chrUn_GL000220v1_region	161802	173710864	1073.60	0	4376
chrUn_GL000224v1	179693	36711223	204.30	9	1403
chrUn_GL000224v1_region	179693	36711223	204.30	9	1403
chrUn_KI270741v1	157432	2411252	15.32	0	34
chrUn_KI270741v1_region	157432	2411252	15.32	0	34
chrUn_GL000226v1	15008	19706710	1313.08	727	1563
chrUn_GL000226v1_region	15008	19706710	1313.08	727	1563
chrUn_GL000213v1	164239	2901988	17.67	0	48
chrUn_GL000213v1_region	164239	2901988	17.67	0	48
chrUn_KI270743v1	210658	15740668	74.72	16	223
chrUn_KI270743v1_region	210658	15740668	74.72	16	223
chrUn_KI270744v1	168472	31056255	184.34	5	2927
chrUn_KI270744v1_region	168472	31056255	184.34	5	2927
chrUn_KI270745v1	41891	449176	10.72	1	25
chrUn_KI270745v1_region	41891	449176	10.72	1	25
chrUn_KI270746v1	66486	8839693	132.96	26	268
chrUn_KI270746v1_region	66486	8839693	132.96	26	268
chrUn_KI270747v1	198735	8013752	40.32	0	94
chrUn_KI270747v1_region	198735	8013752	40.32	0	94
chrUn_KI270748v1	93321	695335	7.45	0	23
chrUn_KI270748v1_region	93321	695335	7.45	0	23
chrUn_KI270749v1	158759	10854767	68.37	5	102
chrUn_KI270749v1_region	158759	10854767	68.37	5	102
chrUn_KI270750v1	148850	11422986	76.74	4	123
chrUn_KI270750v1_region	148850	11422986	76.74	4	123
chrUn_KI270751v1	150742	21333282	141.52	0	806
chrUn_KI270751v1_region	150742	21333282	141.52	0	806
chrUn_KI270753v1	62944	2782499	44.21	4	76
chrUn_KI270753v1_region	62944	2782499	44.21	4	76
chrUn_KI270754v1	40191	6854748	170.55	1	300
chrUn_KI270754v1_region	40191	6854748	170.55	1	300
chrUn_KI270755v1	36723	452208	12.31	0	21
chrUn_KI270755v1_region	36723	452208	12.31	0	21
chrUn_KI270756v1	79590	3059589	38.44	0	301
chrUn_KI270756v1_region	79590	3059589	38.44	0	301
chrUn_KI270757v1	71251	15752974	221.09	0	559
chrUn_KI270757v1_region	71251	15752974	221.09	0	559
chrUn_GL000214v1	137718	29234750	212.28	11	952
chrUn_GL000214v1_region	137718	29234750	212.28	11	952
chrUn_KI270742v1	186739	24113983	129.13	21	245
chrUn_KI270742v1_region	186739	24113983	129.13	21	245
chrUn_GL000216v2	176608	33387087	189.05	6	1590
chrUn_GL000216v2_region	176608	33387087	189.05	6	1590
chrUn_GL000218v1	161147	14718787	91.34	24	145
chrUn_GL000218v1_region	161147	14718787	91.34	24	145
chrEBV	171823	61822371	359.80	151	866
chrEBV_region	171823	61822371	359.80	151	866
total	3099812267	136813176739	44.14	0	105065
total_region	3099812267	136813176739	44.14	0	105065
